DATE,MAX,MIN
2025-05-02,14.4,4.1
2025-05-03,13.5,4.7
2025-05-04,11.3,2.6
2025-05-05,11.2,-1.4
2025-05-06,9.1,4.1
2025-05-07,7.0,0.5
2025-05-08,7.7,1.6
2025-05-09,10.0,2.9
2025-05-10,12.6,1.2
2025-05-11,12.9,5.1
2025-05-12,16.9,4.6
2025-05-13,15.9,4.2
2025-05-14,13.7,5.5
2025-05-15,14.3,4.0
2025-05-16,20.2,7.9
2025-05-17,15.2,7.1
2025-05-18,19.9,8.1
2025-05-19,18.5,11.5
2025-05-20,20.4,7.4
2025-05-21,16.5,5.1
2025-05-22,16.1,9.6
2025-05-23,13.8,9.2
2025-05-24,13.4,7.0
2025-05-25,17.1,6.8
2025-05-26,16.4,9.6
2025-05-27,19.1,9.7
2025-05-28,18.7,9.3
2025-05-29,18.7,11.4
2025-05-30,19.5,12.3
2025-05-31,18.1,9.9
2025-06-01,20.9,7.7
2025-06-02,15.4,10.1
